episode,status,runtime,reward,collisions_agent,collisions_obs,success
545,Success,985.57,-0.072,0,0,1
546,Success,987.25,-0.05,0,0,1
547,Timeout,994.14,-0.6,0,0,0
548,Obstacle Collision,995.13,-1.278,0,1,0
549,Obstacle Collision,996.73,-1.199,0,1,0
550,Success,997.84,-0.05,0,0,1
551,Success,1000.34,-0.078,0,0,1
552,Success,1002.56,-0.067,0,0,1
553,Obstacle Collision,1003.22,-1.267,0,1,0
554,Obstacle Collision,1003.88,-1.267,0,1,0
555,Obstacle Collision,1004.78,-1.278,0,1,0
556,Success,1005.76,-0.033,0,0,1
557,Success,1008.07,-0.078,0,0,1
558,Obstacle Collision,1008.96,-1.272,0,1,0
559,Success,1011.18,-0.061,0,0,1
560,Success,1012.35,-0.039,0,0,1
561,Success,1014.17,-0.917,0,0,1
562,Success,1015.32,-0.033,0,0,1
563,Success,1017.11,-0.044,0,0,1
564,Obstacle Collision,1017.61,-1.267,0,1,0
565,Obstacle Collision,1018.21,-1.267,0,1,0
566,Success,1019.69,-0.056,0,0,1
567,Success,1021.38,-0.056,0,0,1
568,Success,1023.57,-0.072,0,0,1
569,Obstacle Collision,1024.4,-1.17,0,1,0
570,Success,1026.39,-0.078,0,0,1
571,Success,1029.02,-0.106,0,0,1
572,Obstacle Collision,1029.46,-1.261,0,1,0
573,Obstacle Collision,1033.93,-1.522,0,1,0
574,Success,1036.68,-0.106,0,0,1
575,Success,1038.39,-0.056,0,0,1
576,Obstacle Collision,1039.51,-1.278,0,1,0
577,Success,1040.83,-0.067,0,0,1
578,Obstacle Collision,1041.97,-3.844,0,1,0
579,Obstacle Collision,1042.41,-1.261,0,1,0
580,Obstacle Collision,1043.51,-3.844,0,1,0
581,Success,1045.47,-0.078,0,0,1
582,Success,1046.32,-0.028,0,0,1
583,Success,1047.57,-0.044,0,0,1
584,Success,1050.53,-0.106,0,0,1
585,Success,1054.5,-0.222,0,0,1
586,Success,1056.81,-0.95,0,0,1
587,Success,1059.6,-0.083,0,0,1
588,Obstacle Collision,1060.71,-1.283,0,1,0
589,Success,1063.15,-0.961,0,0,1
590,Agent Collision,1064.86,-5.178,1,0,0
591,Obstacle Collision,1066.74,-2.178,0,1,0
592,Success,1069.76,-0.089,0,0,1
593,Success,1072.66,-0.089,0,0,1
594,Success,1075.31,-0.944,0,0,1
595,Obstacle Collision,1077.97,-1.075,0,1,0
596,Obstacle Collision,1078.52,-1.045,0,1,0
597,Success,1079.54,-0.044,0,0,1
598,Obstacle Collision,1080.75,-1.283,0,1,0
599,Obstacle Collision,1081.22,-1.261,0,1,0
600,Success,1082.72,-0.911,0,0,1
601,Success,1084.44,-0.067,0,0,1
602,Success,1087.07,-0.117,0,0,1
603,Obstacle Collision,1088.24,-1.283,0,1,0
604,Success,1089.7,-0.039,0,0,1
605,Obstacle Collision,1091.3,-1.227,0,1,0
606,Obstacle Collision,1093.11,-1.199,0,1,0
607,Success,1095.59,-0.072,0,0,1
608,Success,1097.07,-0.067,0,0,1
609,Obstacle Collision,1098.63,-1.3,0,1,0
610,Success,1100.66,-0.078,0,0,1
611,Success,1102.74,-0.089,0,0,1
612,Success,1104.59,-0.072,0,0,1
613,Success,1105.41,-0.028,0,0,1
614,Success,1108.17,-5.183,0,0,1
615,Obstacle Collision,1109.59,-1.344,0,1,0
616,Success,1111.66,-0.078,0,0,1
617,Success,1113.27,-0.078,0,0,1
